Year,Rail,Sea,River,Road,Air,Pipeline,Total_Volume,Rail_Share,Sea_Share,River_Share,Road_Share,Air_Share,Pipeline_Share,Dominant_Mode,Rail_Share_Lag1,Rail_Share_Lag2,Rail_Share_Lag3,Rail_Share_Growth,Rail_Share_RollingMean3,Rail_Share_RollingStd3,Sea_Share_Lag1,Sea_Share_Lag2,Sea_Share_Lag3,Sea_Share_Growth,Sea_Share_RollingMean3,Sea_Share_RollingStd3,River_Share_Lag1,River_Share_Lag2,River_Share_Lag3,River_Share_Growth,River_Share_RollingMean3,River_Share_RollingStd3,Road_Share_Lag1,Road_Share_Lag2,Road_Share_Lag3,Road_Share_Growth,Road_Share_RollingMean3,Road_Share_RollingStd3,Air_Share_Lag1,Air_Share_Lag2,Air_Share_Lag3,Air_Share_Growth,Air_Share_RollingMean3,Air_Share_RollingStd3,Pipeline_Share_Lag1,Pipeline_Share_Lag2,Pipeline_Share_Lag3,Pipeline_Share_Growth,Pipeline_Share_RollingMean3,Pipeline_Share_RollingStd3,Year_Normalized
2006,386221.7,11183.1,16228.6,1285496.0,38.8,206893.6,1906061.8,20.26281099594987,0.5867123510895608,0.8514204523693827,67.44251419340128,0.002035610807582419,10.854506396382321,Road,20.566014132273676,21.009881013547396,20.528436020604733,-1.4742921714130164,20.61290204725698,0.3757356254428109,0.5090751224970785,0.47233548859455043,0.5683936691586416,15.25064281508428,0.5227076540603965,0.058394358513209954,0.8787857223407627,0.7987500662219356,0.7588546756334815,-3.1139866381179937,0.842985413644027,0.040679097474213784,66.33643956281522,64.14553521199008,64.56739351134875,1.6673711128838864,65.97482965606885,1.6779716608035362,0.001964818520940755,0.0020462227708715423,0.001569988221033022,3.6029936549951014,0.002015550699798239,4.425459207736125e-05,11.707720641552323,13.571451996875167,13.575352135033352,-7.287620462533296,12.044559678269936,1.3894400856107465,0.44
2007,411136.6,9204.4,19253.3,1370259.0,41.9,198463.0,2008358.2,20.4712784801038,0.4583046988331066,0.9586586695540666,68.22781912111097,0.002086281222144536,9.88185274917592,Road,20.26281099594987,20.566014132273676,21.009881013547396,1.028818184187763,20.43336786944245,0.15511591236775896,0.5867123510895608,0.5090751224970785,0.47233548859455043,-21.885963712540445,0.5180307241399154,0.06467057592207236,0.8514204523693827,0.8787857223407627,0.7987500662219356,12.595212727889638,0.896288281421404,0.0557204045841019,67.44251419340128,66.33643956281522,64.14553521199008,1.1644063645932734,67.33559095910915,0.9502123930514352,0.002035610807582419,0.001964818520940755,0.0020462227708715423,2.4891995254385346,0.0020289035168892366,6.100850561407248e-05,10.854506396382321,11.707720641552323,13.571451996875167,-8.960827988738163,10.814693262370186,0.9135848096004341,0.48
2008,416565.4,7421.1,19457.0,1368933.1,43.4,188204.0,2000624.0,20.82177360663473,0.37093926694871204,0.9725465654715728,68.42530630443302,0.002169323171170595,9.407264933340798,Road,20.4712784801038,20.26281099594987,20.566014132273676,1.712131105400072,20.518621027562798,0.2824726316580708,0.4583046988331066,0.5867123510895608,0.5090751224970785,-19.062739724649646,0.47198543895712647,0.10853514614017523,0.9586586695540666,0.8514204523693827,0.8787857223407627,1.4486799481995272,0.9275418957983407,0.06628781204365607,68.22781912111097,67.44251419340128,66.33643956281522,0.28945258087687,68.03187987298176,0.5198694308139258,0.002086281222144536,0.002035610807582419,0.001964818520940755,3.980381366836938,0.002097071733632517,6.750611378026275e-05,9.88185274917592,10.854506396382321,11.707720641552323,-4.802619790855511,10.047874692966346,0.7377665128288219,0.52
2009,324683.0,5345.0,8367.6,1121096.0,36.9,165275.3,1624803.8,19.982905012900634,0.32896279538489503,0.5149914100397844,68.99885389238996,0.0022710434330594255,10.172015845851664,Road,20.82177360663473,20.4712784801038,20.26281099594987,-4.028804700223976,20.425319033213054,0.4213185641023063,0.37093926694871204,0.4583046988331066,0.5867123510895608,-11.316265303781092,0.38606892038890456,0.06598493621135731,0.9725465654715728,0.9586586695540666,0.8514204523693827,-47.04712058799231,0.8153988816884746,0.2602531559463265,68.42530630443302,68.22781912111097,67.44251419340128,0.8382097486055118,68.55065977264464,0.40051064108831885,0.002169323171170595,0.002086281222144536,0.002035610807582419,4.689032194034093,0.0021755492754581855,9.253832679754928e-05,9.407264933340798,9.88185274917592,10.854506396382321,8.129365101651075,9.820377842789462,0.3860639359393224,0.56
2010,358702.7,4975.8,10484.7,1179040.8,40.0,147321.3,1700565.3,21.09314473251924,0.292596820598421,0.6165420404614865,69.33228615214011,0.002352159014417147,8.66307809526632,Road,19.982905012900634,20.82177360663473,20.4712784801038,5.555947540669659,20.6326077840182,0.5787882515128802,0.32896279538489503,0.37093926694871204,0.4583046988331066,-11.054737890321265,0.3308329609773427,0.0392046918690157,0.5149914100397844,0.9725465654715728,0.9586586695540666,19.718897915958845,0.7013600053242812,0.24028055568054554,68.99885389238996,68.42530630443302,68.22781912111097,0.4832431858508457,68.91881544965436,0.4587567168701756,0.0022710434330594255,0.002169323171170595,0.002086281222144536,3.5717318381906615,0.0022641752062157222,9.161122092245298e-05,10.172015845851664,9.407264933340798,9.88185274917592,-14.834205662397949,9.414119624819595,0.7544922291725948,0.6
2011,396783.5,5322.8,9959.8,1250222.0,41.4,151522.6,1813852.1,21.875184862095427,0.2934528123875149,0.5490965884153398,68.92634741277969,0.0022824352658080554,8.353635889056225,Road,21.09314473251924,19.982905012900634,20.82177360663473,3.707555888385472,20.983744869171765,0.9508717076937853,0.292596820598421,0.32896279538489503,0.37093926694871204,0.2925499283769506,0.305004142790277,0.02075321556043729,0.6165420404614865,0.5149914100397844,0.9725465654715728,-10.939311128834506,0.5602100129722035,0.05167943293803722,69.33228615214011,68.99885389238996,68.42530630443302,-0.5854974094891996,69.08582915243659,0.21649500438502617,0.002352159014417147,0.0022710434330594255,0.002169323171170595,-2.9642446867636174,0.002301879237761543,4.39145240068357e-05,8.66307809526632,10.172015845851664,9.407264933340798,-3.5719660241684825,9.062909943391402,0.9728954449991901,0.64
2012,378102.3,3457.5,4294.7,1259697.7,122.6,128439.8,1774114.6,21.312168898221117,0.19488594479747812,0.2420756810185768,71.00430265327843,0.006910489322392138,7.239656333362005,Road,21.875184862095427,21.09314473251924,19.982905012900634,-2.573765512948345,21.426832830945262,0.4034322175628781,0.2934528123875149,0.292596820598421,0.32896279538489503,-33.58866006023338,0.26031185926113803,0.056662120442500075,0.5490965884153398,0.6165420404614865,0.5149914100397844,-55.91382534042092,0.46923810329846766,0.19959783771994585,68.92634741277969,69.33228615214011,68.99885389238996,3.0147473622161858,69.75431207273276,1.1013872632358872,0.0022824352658080554,0.002352159014417147,0.0022710434330594255,202.7682504697719,0.003848361200872447,0.0026521098817227223,8.353635889056225,8.66307809526632,10.172015845851664,-13.335265870919766,8.085456772561516,0.7486470509917111,0.68
2013,377318.3,3428.1,2840.5,1260767.5,99.2,125941.1,1770394.7,21.312665475105636,0.19363478663825645,0.1604444477833107,71.213921957629,0.005603270276396557,7.113730062567404,Road,21.312168898221117,21.875184862095427,21.09314473251924,0.002330015714924194,21.500006411807394,0.3249141637687393,0.19488594479747812,0.2934528123875149,0.292596820598421,-0.6419950707691302,0.22732451460774983,0.0572722024600228,0.2420756810185768,0.5490965884153398,0.6165420404614865,-33.721368826388535,0.31720557240574243,0.2049292488625039,71.00430265327843,68.92634741277969,69.33228615214011,0.29522056624393667,70.38152400789572,1.2645707791259981,0.006910489322392138,0.0022824352658080554,0.002352159014417147,-18.91644694044724,0.004932064954865583,0.0023859188010920914,7.239656333362005,8.353635889056225,8.66307809526632,-1.7393956977529879,7.569007428328544,0.6824190226370817,0.72
2014,325171.0,2805.3,3144.8,1131312.7,78.6,99679.5,1562191.9,20.81504839450262,0.17957460923974836,0.20130689449868486,72.41829252859397,0.005031392110021822,6.380746181054965,Road,21.312665475105636,21.312168898221117,21.875184862095427,-2.3348420739970677,21.14662758927646,0.28715611338136554,0.19363478663825645,0.19488594479747812,0.2934528123875149,-7.261183614065669,0.1893651135584943,0.008501872164201136,0.1604444477833107,0.2420756810185768,0.5490965884153398,25.468283433878124,0.20127567443352412,0.04081562557277416,71.213921957629,71.00430265327843,68.92634741277969,1.6912010149947143,71.54550571316713,0.7630875979050075,0.005603270276396557,0.006910489322392138,0.0022824352658080554,-10.20614994753577,0.005848383902936839,0.0009632300352570379,7.113730062567404,7.239656333362005,8.353635889056225,-10.303791050062683,6.911377525661457,0.46383356317562835,0.76
2015,294301.2,3291.6,3155.5,1020604.0,69.1,97231.5,1418652.9000000001,20.745116723054664,0.23202292823001314,0.22242932009655073,71.9417695477167,0.004870817942852687,6.853790662959206,Road,20.81504839450262,21.312665475105636,21.312168898221117,-0.335966893386741,20.957610197554306,0.30946857232303276,0.17957460923974836,0.19363478663825645,0.19488594479747812,29.206979323141134,0.20174410803600598,0.02714824785092353,0.20130689449868486,0.1604444477833107,0.2420756810185768,10.492648873485976,0.1947268874595154,0.031511957546283095,72.41829252859397,71.213921957629,71.00430265327843,-0.6580146593336389,71.85799467797989,0.6065400148805778,0.005031392110021822,0.005603270276396557,0.006910489322392138,-3.1914460979754367,0.005168493443090356,0.0003849924504134429,6.380746181054965,7.113730062567404,7.239656333362005,7.4136232421962545,6.782755635527192,0.3716191921590293,0.8
2016,292104.7,3032.5,3641.8,1085663.4,74.3,106729.2,1491245.9,19.587963326504372,0.20335345096338572,0.24421190361696893,72.80243989270984,0.004982411016184521,7.157049015189246,Road,20.745116723054664,20.81504839450262,21.312665475105636,-5.5779555834666095,20.38270948135389,0.6891579627733627,0.23202292823001314,0.17957460923974836,0.19363478663825645,-12.356312147826298,0.20498366281104907,0.026262134989893177,0.22242932009655073,0.20130689449868486,0.1604444477833107,9.793036057909532,0.2226493727374015,0.02145335100243107,71.9417695477167,72.41829252859397,71.213921957629,1.1963430290969912,72.38750065634017,0.431160602601246,0.004870817942852687,0.005031392110021822,0.005603270276396557,2.2910540825198167,0.00496154035635301,8.229644051763691e-05,6.853790662959206,6.380746181054965,7.113730062567404,4.424680693400473,6.797195286401139,0.3912336898287397,0.84
2017,277288.9,2253.1,3640.2,1121673.6,82.8,114810.4,1519749.0,18.245703731339848,0.14825474469797315,0.23952639547714788,73.80650357394543,0.005448268102166871,7.554563286437431,Road,19.587963326504372,20.745116723054664,20.81504839450262,-6.8524714529576425,19.52626126029963,1.2508483859039985,0.20335345096338572,0.23202292823001314,0.17957460923974836,-27.095043631855177,0.1945437079637907,0.04257329940060558,0.24421190361696893,0.22242932009655073,0.20130689449868486,-1.9186239779572678,0.23538920639688918,0.011465491106808232,72.80243989270984,71.9417695477167,72.41829252859397,1.3791621307133406,72.85023767145732,0.933285442875788,0.004982411016184521,0.004870817942852687,0.005031392110021822,9.350033236300504,0.00510049902040136,0.0003063017371448241,7.157049015189246,6.853790662959206,6.380746181054965,5.554164438507403,7.18846765486196,0.35144119798804785,0.88
2018,267630.0,1894.4,3658.0,1193393.3,86.6,111357.6,1578019.9000000004,16.959862166503726,0.12004918315668894,0.23180949745944263,75.62599812587914,0.005487890235097794,7.056793136765892,Road,18.245703731339848,19.587963326504372,20.745116723054664,-7.047366239031316,18.264509741449316,1.3141515043218357,0.14825474469797315,0.20335345096338572,0.23202292823001314,-19.025064997916264,0.1572191262726826,0.0423694508043855,0.23952639547714788,0.24421190361696893,0.22242932009655073,-3.221731785481441,0.23851593218451983,0.006262642946337768,73.80650357394543,72.80243989270984,71.9417695477167,2.4652225262381977,74.07831386417813,1.4312689822084441,0.005448268102166871,0.004982411016184521,0.004870817942852687,0.7272427161791883,0.005306189784483062,0.00028109962016195384,7.554563286437431,7.157049015189246,6.853790662959206,-6.5889996654760585,7.256135146130856,0.2632628467610145,0.92
2019,262649.9,2112.5,3854.7,1193855.9,92.2,107386.3,1569951.5,16.729809806226502,0.13455829686458468,0.24552987783380567,76.04412620389866,0.0058727928856400985,6.840103022290816,Road,16.959862166503726,18.245703731339848,19.587963326504372,-1.3564518273714743,17.311791901356692,0.816929924628864,0.12004918315668894,0.14825474469797315,0.20335345096338572,12.085974536751621,0.1342874082397489,0.01410473186381534,0.23180949745944263,0.23952639547714788,0.24421190361696893,5.918817185979863,0.2389552569234654,0.00687799817097021,75.62599812587914,73.80650357394543,72.80243989270984,0.5528893348601516,75.15887596790775,1.189702101944345,0.005487890235097794,0.005448268102166871,0.004982411016184521,7.013672541784088,0.005602983740968254,0.00023449991314693138,7.056793136765892,7.554563286437431,7.157049015189246,-3.070659863134151,7.150486481831379,0.36632935924282,0.96
2020,250269.8,2200.7,3302.5,1102925.3,87.0,103130.4,1461915.7,17.1193044852039,0.15053535576640978,0.2259022185752571,75.44383715148555,0.005951095538545759,7.054469693430339,Road,16.729809806226502,16.959862166503726,18.245703731339848,2.3281476806295665,16.936325485978042,0.19581115324599846,0.13455829686458468,0.12004918315668894,0.14825474469797315,11.873707734205286,0.1350476119292278,0.015248975441708347,0.24552987783380567,0.23180949745944263,0.23952639547714788,-7.994000335810103,0.23441386462283517,0.010069672200905091,76.04412620389866,75.62599812587914,73.80650357394543,-0.7893956869246321,75.70465382708778,0.3077771533292363,0.0058727928856400985,0.005487890235097794,0.005448268102166871,1.3333120106640006,0.005770592886427884,0.0002479383354078558,6.840103022290816,7.056793136765892,7.554563286437431,3.133968456921421,6.983788617495683,0.12444079837109588,1.0
